# Ads.txt Hearst Magazines UK - Updated 12/12/2025
OWNERDOMAIN=hearst.com
CONTACT=adstxt@hearst.com

aps.amazon.com, 3049, DIRECT
appnexus.com, 7287, DIRECT, f5ab79cb980f11d1 #PB
blis.com, 1235, DIRECT, 61453ae19a4b73f4 #TAM
conversantmedia.com, 41064, DIRECT, 03113cd04947736d #TAM
google.com, pub-1301581561755234, DIRECT, f08c47fec0942fa0
gumgum.com, 14073, DIRECT, ffdef49475d318a9 #TAM
indexexchange.com, 184046, DIRECT, 50b1c356f2c5c8fc #OB
indexexchange.com, 187614, DIRECT, 50b1c356f2c5c8fc #PB
indexexchange.com, 194269, DIRECT, 50b1c356f2c5c8fc #TAM
kargo.com, 114, DIRECT, 98ccdd9948ed08da #PB
media.net, 8CU2871MY, DIRECT, 818f58666cabc936 #OB
media.net, 8CUN3X637, DIRECT, 818f58666cabc936 #PBS
openx.com, 539330234, DIRECT, 6a698e2ec38604c6 #TAM
openx.com, 557916699, DIRECT, 6a698e2ec38604c6 #PBS
rubiconproject.com, 15896, DIRECT, 0bfd66d529a55807 #OB
rubiconproject.com, 11636, DIRECT, 0bfd66d529a55807 #PB,TAM
sharethrough.com, 6194f765, DIRECT, d53b998a7bd4ecd2 #OB
sharethrough.com, 5040-OB, DIRECT, d53b998a7bd4ecd30 #OB
smartadserver.com, 5040-OB, DIRECT, 060d053dcf45cbf3 #OB
taboola.com, 1379033, DIRECT, c228e6794e811952 #hmiuk
teads.tv, 5686, DIRECT, 15a9c44f6d26cbe1 #hmiuk #UK
teads.tv, 31210, DIRECT, 15a9c44f6d26cbe1 #hmiuk #DS
triplelift.com, 967, DIRECT, 6c33edb13117fd86 #PB
video.unrulymedia.com, 774163361, DIRECT, 98c21ef9a666c68b #PSP
yahoo.com, 59985, DIRECT, e1a5b5b6e3255540 #PBS
yieldmo.com, 2002949167987197600, DIRECT, 6a92c77cfc3d2258 #TAM





