Qgoogle.com, pub-3461425148194524, DIRECT, f08c47fec0942fa0
google.com, pub-8785960321798266, DIRECT, f08c47fec0942fa0
facebook.com, 474543033384065, DIRECT, c3e20eee3f780d68

google.com, pub-2231964121141218, DIRECT, f08c47fec0942fa0

google.com, pub-8613639457935467, DIRECT, f08c47fec0942fa0

greedygame.com, 3185923168473097, DIRECT
google.com, pub-1067374679252537, RESELLER, f08c47fec0942fa0
google.com, pub-2749054827332983, RESELLER, f08c47fec0942fa0
pubmatic.com, 161480, RESELLER, 5d62403b186f2ace
pubmatic.com, 162539, RESELLER, 5d62403b186f2ace
google.com,pub-4686405784285870, RESELLER, f08c47fec0942fa0

google.com, pub-9531424636427203, DIRECT, f08c47fec0942fa0

google.com, pub-8222670577969357, DIRECT, f08c47fec0942fa0
