google.com, pub-3077357215343554, DIRECT, f08c47fec0942fa0

facebook.com, 496876018249580, DIRECT, c3e20eee3f780d68

vdopia.com, 15862, DIRECT, 49a66ce31a704197 #video
chocolateplatform.com, 15862, DIRECT, 49a66ce31a704197 #video
vdopia.com, 15862, DIRECT, 49a66ce31a704197 #banner
chocolateplatform.com, 15862, DIRECT, 49a66ce31a704197 #banner

uis.mobfox.com, SM_673, DIRECT, 5529a3d1f59865be
appnexus.com,2637,RESELLER,f5ab79cb980f11d1
appnexus.com,2850,RESELLER,f5ab79cb980f11d1
openx.com,539249210,RESELLER,6a698e2ec38604c6
pubmatic.com,156451,RESELLER,5d62403b186f2ace
rubiconproject.com,17494,RESELLER,0bfd66d529a55807
xad.com,589,RESELLER,81cbf0a75a5e0e9a
Inmobi.com,a5e661acdc384e91a79a58eb3418e99f,RESELLER,83e75a7ae333ca9d
yahoo.com, 59663, RESELLER, e1a5b5b6e3255540
instal.com, 5a59277b-91e8-4b5c-a4b5-ee9a7a6c0644, RESELLER
conversantmedia.com, 100331, RESELLER, 03113cd04947736d
