#App-ads.txt sbs.com.au
ownerdomain=sbs.com.au

#Video and Display
google.com, pub-9461687859934363, DIRECT, f08c47fec0942fa0 #ctv-bvod #display
indexexchange.com, 188147, DIRECT #ctv-bvod #display
indexexchange.com, 205964, DIRECT, 50b1c356f2c5c8fc #ctv-bvod
indexexchange.com, 207986, DIRECT, 50b1c356f2c5c8fc #ctv-bvod
indexexchange.com, 214003, DIRECT, 50b1c356f2c5c8fc #ctv-bvod
pubmatic.com, 160670, DIRECT, 5d62403b186f2ace #ctv-bvod
pubmatic.com, 158538, DIRECT, 5d62403b186f2ace #ctv-bvod #display
rubiconproject.com, 18846, DIRECT, 0bfd66d529a55807 #ctv-bvod #display
rubiconproject.com, 10560, DIRECT, 0bfd66d529a55807 #ctv-bvod #display
appnexus.com, 12040, DIRECT, f5ab79cb980f11d1 #ctv-bvod
telaria.com, g5b6p, DIRECT, 1a4e959a1b50034a #ctv-bvod
telaria.com, s7kc9-8u8h6, DIRECT, 1a4e959a1b50034a #ctv-bvod
tremorhub.com, g5b6p, DIRECT, 1a4e959a1b50034a #ctv-bvod
tremorhub.com, s7kc9-8u8h6, DIRECT, 1a4e959a1b50034a #ctv-bvod
video.unrulymedia.com, 791010636, DIRECT #ctv-bvod
xandr.com, 13755, DIRECT #ctv-bvod

#Audio
adswizz.com, sbsau, DIRECT #audio
adswizz.com, 511, DIRECT #audio
adswizz.com, audion, RESELLER #audio
adswizz.com, 330, RESELLER #audio
adswizz.com, 80, RESELLER #audio
adswizz.com, 99, RESELLER #audio
adswizz.com, 318, RESELLER #audio
adswizz.com, 225, RESELLER #audio
adswizz.com, 11, RESELLER #audio
adswizz.com, 584, RESELLER #audio
adswizz.com, 471, RESELLER #audio
katzdigital.com, 318, RESELLER #audio
katzdigital.com, 80, RESELLER #audio

